ID,Temperature
28000,26.6047157944587
28001,26.5031068649552
28002,25.4031496066437
28003,23.8174540339466
28004,23.0003480713551
28005,22.9790089363414
28006,22.6040127355732
28007,22.4343696845546
28008,22.1066806022072
28009,22.3081732230467
28010,22.3506931776884
28011,20.3088748557431
28012,19.9286273974224
28013,20.054614544285
28014,20.0939883655776
28015,22.033424901481
28016,23.3437431077559
28017,24.3849570082925
28018,24.7658439509267
28019,26.2383379441556
28020,26.9010332291699
28021,27.0776334928876
28022,27.458478898226
28023,27.2235956159607
28024,28.0568442079932
28025,27.0251225473643
28026,24.3584761489242
28027,23.9963923512487
28028,23.2365184180099
28029,21.7819716441421
28030,21.7092925383843
28031,22.1286957344781
28032,19.5587178381993
28033,18.8558745423538
28034,19.4737060774146
28035,18.60223983948
28036,13.7615955047357
28037,13.5959066037596
28038,16.6837009919485
28039,17.5218606187953
28040,18.617077609116
28041,18.6067780116765
28042,18.5952146922655
28043,18.2689321304349
28044,18.8257969922774
28045,20.7885816311311
28046,20.9371245509491
28047,21.5618823792493
28048,21.8679894096425
28049,21.5886925510418
28050,17.9575152577827
28051,16.6842767847016
28052,13.4371870800718
28053,12.530283956022
28054,12.0721705832179
28055,10.0958448206059
28056,9.81721332826938
28057,8.59531275695779
28058,7.47746126120547
28059,8.06377646802253
28060,9.45417344251388
28061,13.038979382537
28062,15.5684859001372
28063,18.2293264956385
28064,20.8411508046154
28065,21.9840099928462
28066,22.7115951585354
28067,23.0008545662791
28068,23.0625592191749
28069,23.2313277647956
28070,22.6999430631338
28071,22.559236401534
28072,21.3737792755899
28073,21.2930897580252
28074,20.6667278911646
28075,20.789242621548
28076,20.4927565195259
28077,19.7875532263753
28078,18.425148769698
28079,16.9214512164523
28080,16.8897917978244
28081,16.4890190223854
28082,13.0799372275674
28083,13.5491886791302
28084,13.6207196865993
28085,13.9150109640128
28086,14.5054515790621
28087,13.0829550440497
28088,13.0048646981016
28089,13.4298926365554
28090,13.2418156732809
28091,12.2998707500293
28092,12.3436484039838
28093,13.0594532302656
28094,13.9591807714163
28095,13.7911622195722
28096,14.5193935091751
28097,13.6454295514201
28098,13.4062158619329
28099,13.9750502236306
28100,13.490825564301
28101,13.6883611483594
28102,13.7352753335939
28103,13.2226561222988
28104,13.4053516292786
28105,13.1782520693948
28106,12.8498754383535
28107,12.0773367638377
28108,12.6020276655652
28109,13.1948837127073
28110,15.8048791604238
28111,18.4374686591893
28112,20.1639515702155
28113,21.6883105784352
28114,22.8728782026969
28115,23.6180127028676
28116,23.1931549366104
